l7GQ-fR-DsA	tea
h3ZdKfu7Vws	Sarvepalli Radhakrishnan
zEth840lEVE	sari (sign 2)
0LXJqXx8dVU	sari (sign 1)
ei3OdPKC1-4	Saraswati
lRYgVqrUDl0	Sanjay Dutt
UpTUXgf7Wck	sanitary pad (sign 2)
Tj5FRh9ASMU	sanitary pad (sign 1)
DzL4k1Vy3gc	sandwich (sign 3)
wgrN2DNXukc	sandwich (sign 2)
WV786dTqOyQ	sandwich (sign 1)
rn-sFXA7utE	sandwich (aloo)
AW-lxiaveRY	sand
v0Rb3W378JA	Samsung
L1n0OnAH5YU	Samsung Mobile
vvCzSnLu_4Q	samosa
bL8PcxnwN74	same (sign 4)
K4bb2bBt1uY	same (sign 3)
6T7sRjrH2hU	same (sign 2)
JJamPbb5o_A	same (sign 1)
f2qC92s1N98	salwar
7EWF3Rsjn6Y	salt
C9ZLmgNDV_Y	Salman Khan
qZX74ORSxgU	salesman
T6vd9Criu48	6 six
MZZ52lsCfSw	7 seven
YgZcsvejUF0	16 sixteen
zMVhZxmiK-s	salesman (example)
YbaTI-fVR9c	salary
SwLX5yOifFI	Saina Nehwal
bP0ibVNj7TU	sailor
9r5BkbHQKg4	sailboat
xpy5egrPAZ0	Sai Baba
1NcamL3P63A	safe (sign 2)
jXFwSjb4-KU	safe (sign 1)
vzzmwuU-sMg	sad
0dz5Em9gsjk	sacrifice
0MJRREhKkDs	sacrifice (example)
rzbnEVG06b8	Sachin Tendulkar
5reXwGDh438	70 seventy
ILinyrxnsEs	60 sixty
GHp2q1IoF6I	17 seventeen
nt6YlBv1Qv0	Scotland
itp7CE5KiEQ	scorpion
I6kZM0sKraQ	score
iEwyPUtL9s0	scooter
h_Ja2phijtY	scold
2Os6w6jmxIg	scissors
tDvbCVB02yA	scientist
rY6VvljDcc0	scratch (car)
l59aZl_Jrto	secret (sign 2)
mY5LdfQ0sjQ	second (time)
meGXyGsCWhs	season
3ppf7DdzKvA	search
muFgzetIJP4	sea
SSkoetdv7G4	sculptor
FnSIbbCAQ3s	sculptor (example)
3NIFg2ExoMs	scratch (skin)
UJyI-681CrM	scratch (paper)
eRceNyZCsU4	secret (sign 3)
nEoBtV3LSLw	shallow (sign 2)
aCSZ-jr5Y_o	shallow (sign 1)
5FnTx-WdmWY	Shahrukh Khan
bxQU88YWOhg	Seychelles
TW2KbOGRx2I	sex
HV7L78k5KeE	seventh
uqZJa7q4N5U	set
6lJS7YqGLVU	service
o34Uvfsrpy0	servant
Adn8_szuH5A	select
bNwhA4fMWCI	seed (sign 2)
PpE3Mdz1Z4w	seed (sign 1)
vnOgaQ_eFNs	see
-p-Uj-p_Gso	see you tomorrow
ABHbs7wII44	security guard
8z04XWMENWY	secretary
MH1cXARmtE0	sequential (sign 2)
hVx3X80m2rk	sequential (sign 1)
7Rq6uvvCPd0	September
xwAdIP51jIs	separate (sign 3)
4ZGhwybcIc0	separate (sign 2)
aQT4jI0jMWc	separate (sign 1)
en7qAq3Vc1c	sentence
d9MAodEjHsc	send
OUr2XSyxfsY	seminar
3n8cKQOSZfM	semicircle
w8RSWGCRPDg	sell
CoKtBDPhPbg	self-reflect
1STccvjvCKQ	selfish
FFAd29BYBxs	self
UhTcSU973TE	shallow
tyLcsnN8-v4	shape (sign 1)
jax7fVU9f8E	shape (sign 2)
Eakrhy1WezE	share (finance) (sign 1)
j2M1Yp100ek	share (finance) (sign 2)
70wTMPGmS-U	secret (sign 1)
kvs0joxjS98	share
SG-B3o7bMAc	since
Fu11XkNRBis	simultaneous
42axCoiER4s	similar (sign 2)
1tyx9hWefCk	similar (sign 1)
XalS8Nhpxy8	SIM card
FlB4FQhBm5M	silver (sign 3)
e6Mi_ArdxVo	silver (sign 2)
4msaL_BcYug	silver (sign 1)
VEALNsI7Ijg	silk
FIj5kYw23Og	Sikkim
31l98A8z-h4	Sikhism, Sikh (sign 2)
1NqEYBhtmZE	signature, sign
9R1zY0Hnzug	Signature Bridge
1HI4TKdLMOw	sign
SInKhy-06qA	sign language
RdhTo_18rQg	sightseeing
Ubkc3VIH4QY	side
NUKt0kkYSg4	sick (sign 2)
z_WykkCqulk	sick (sign 1)
NsQZ8by-g_k	sibling
2GL0HkOQVmA	shy (sign 2)
GkpQNio4dSE	shy (sign 1)
TZqRg598wGQ	shower
YoqthDSpmXU	show
IlO3fdD1Ytk	shoulder
9rOnDWXhyaU	should
ez4pS4IS6N8	short
xnZNmESjKrQ	shopkeeper
iwNBFzTrAjk	shop
EktuCHkw7Ss	shoot
XdNhZENdMvM	shoot (video)
Ssub7QHvQIA	shoot (photo)
yD9wwZmkJlw	shoes
7r-E5BNnbZU	shocked
7Le7IfihZ0g	shock (sign 2)
ZmPkrJiAoGU	shock (sign 1)
LmYvU2JuJK0	Shiva (sign 2)
BRymuHzC43Q	Shiva (sign 1)
f3PZuOrAeqM	shirt
vqWFY4rbASg	ship
F0Yx7_4Ox0c	shine (sign 2)
UgLgrXYY9Es	shine (sign 1)
RAvAYYM05v4	Shimla
uwDxpyWDKEI	shift
7MBisqj8VbE	sheep (sign 2)
9gZg_sd9G88	sheep (sign 1)
_rEVVtT1I44	she
w_FY56WkUPM	shawl (sign 4)
l3fZdrppyaI	shawl (sign 3)
eWbekocb_go	shawl (sign 2)
pBeRmN-a5lU	shawl (sign 1)
BJgvTIe5avM	shaving trimmer
23L4Zan3GuY	shaving razor (sign 2)
mjwekhNRLbY	shaving razor (sign 1)
MzwOHZTi4OU	shaving brush
raF-yOcZpkk	shaving blade
XFDOnLG4P7Y	Shatabdi Express
lMQiMzxO_IU	sharpener
IGuFuS-aMpo	sharp
JumxHKPgPsw	shark
cyyBiFbtefI	Sikhism, Sikh (sign 1)
52KfVYsiiXw	shooting
wK63rmj8--U	sky
LfeTLkxBG30	skirt
EUJyZCB8UoE	skin
Cn1Q6q6XtMI	skiing
KcNbuobK5GI	skating
Mbhtmmf-0E4	size (sign 2)
i4YK5ssItV4	size (sign 1)
m6Uby73Tg3s	six (cricket)
4LM1k8KifiY	situation
FQYd1BVpZ54	sit (sign 2)
CEHCaHC8hK0	sit (sign 1)
Eic6GMcQ9Tc	sing
SxnoRhqRU6M	sister
XNwWFLtgL8I	singer
SqXx7G7FX5A	Singapore
fxFtLW9HcC8	sitar
4iLJjksh3C8	smoke
NoKq5zdDsQk	smile
S3pN7MBKPU0	smell (sign 2)
lo-tct1Ryrc	smell (sign 1)
qSuPoYq-8lc	smallpox
k0pUR0HlaNw	small
5-Twa3eHlf4	slap (sign 1)
_sL5FydI-Is	slow
QyxD5H8-cHE	Slow Passenger Train
IghFboP-goM	Slovakia
twc2FUfpUYs	slope
YYJ96CO6dt0	slippers
0PKQWh0-C8o	slip
nIBj-sIAi3s	sleep
Lv_-f-V3ylE	slap (sign 2)
4P7EFM3C4MM	smog
NBEVpBk-9VI	soft (person, behaviour)
ds5AgTizcgg	sofa
TiPPYhh323E	sorry (sign 1)
uvKTMTQqfu0	soon
vFJOA9dR7Bw	Sony Mobile
LiMHHFhjutc	son
cPtb9OMfZ0w	sometimes (sign 2)
-kNkN1zSAfc	sometimes (sign 1)
gR1Kd5i82-0	something
_NQG94L6Ook	some
ED7sE5v2jKE	solve
2kiOvqNPlEE	soldier
EgeA95Yf9IQ	soil
B4Anc1i1S1E	software developer
4TymgqvinvY	socks
977nahhu-Zk	socket
ND4_C6fI-BU	society
rWM6kOxTTIo	social (sign 2)
TPwPNPP1rpI	social (sign 1)
hurQiZ-f8WI	soap
0sE5EMDNsDo	sorry (sign 2)
KXnSguJGdN8	sorry (sign 3)
SGLYqU0p4X4	south
vFYN8jgOhb8	South Korea
_xCyuW8Z7AU	So far, so good
KU3jXLCl5ng	snow (sign 2)
o3Yqyk3bfXE	snow (sign 1)
LJZaMf1NGs0	snake
7al_t9swbtA	snail (sign 2)
UUYEkCl4HvI	snail (sign 1)
1PVMa5B3rMs	soup (sign 1)
nReXFWHGPdg	soup (sign 2)
tcPXoZXEs2g	South Africa
ghyJZVAibyA	sperm
TcjKtM3VKj4	speech therapist
nRHDYOP78eE	spectacles
PWHh7NmzzV4	special (sign 2)
Yipdqci-cG4	speak, speech (sign 2)
gNuAOCWJkZc	speak, speech (sign 1)
04Y_zC6sQ80	sparrow
TLXAEKQwcBY	Spain
cDV-k7lXo7w	South America
yRoamy-gOgY	Spice Jet
aFelqRyZOM4	sphere
cjb9U7rI-pk	special (sign 1)
Y8X09M_jMsI	sunrise
WERWKq12o8g	sunny
b5R9Ubu8bw4	sunflower
dVHZX2-cexY	Sunday
36-jdo8Gt4o	sun
9A6I1vyyc4s	summer
48ODiLP2VgA	summary (sign 2)
PUtHYOs4aXQ	summary (sign 1)
x77fC4-wJ8c	suggest
knDXwoLESEc	sugar
1Zy29R7mOcM	suffer
s3tJWRZegCw	sudden
s4ez79CSE58	Sudan
FNwSw0aI6yk	success
GN8sm5YR2kg	subway
vITeIiXX1xE	subtract (sign 2)
-x6oHEcUExQ	subtract (sign 1)
dqZy_QkKqNM	Subhas Chandra Bose
kgvFkAx0xbE	stupid
DY9ZAVPwT8o	stumps (cricket)
oAhY6BKcbG0	study
Y66DFt19PyE	student
CvB9G9rAoNY	stuck
eH7rPf10P-w	strict
HLJXFFx-auI	stressed, pressured, frustrated
NZn29gNlDio	stress
NjzsZG20E7U	strength
4bjLAMYZciw	strange
H9nx2rpmH04	straight
BdxydPFxfAA	storm
mwUQPlBBZgE	stop (sign 2)
FHwjyQeLNuY	stop (sign 1)
kcHPJA0kPtg	stone
XhiIueAytF4	stomach
y938xCsUbpo	stink
fySF9xDtT40	still
RyuTiOy4BBI	steel
mEKieyopxsc	stay
Ctsn9y9OSCk	stationery
Qn3Yf2GDWn8	states
nPejilWVcLU	state
JQ0W7D0nvlY	starve
H1Zt1GDnh-8	startle
QmWhfW8wyMs	start, begin (sign 2)
f0EqkYZvyIQ	start, begin (sign 1)
ve8zSDsdFzs	starfish
R3jedCIQWrE	star (sign 1)
FPuKLNX3uKI	star  (sign 2)
-0Oo1kPonYQ	stapoo, hopscotch
GKyaVPkBIvU	stapler
ijMeKPPK14c	standard, standardization
JGmPOUUxRzE	stairs (sign 2)
DjEe79bR1M4	sunset
OelZVA_CCzo	superficial (sign 2)
SDQ1doHsLn0	superficial (sign 1)
aBCIEB9IdNI	superficial (meaning)
Ci-i1-FzGTU	Superfast Express
jrxgxM0Pj7g	Superman
K5zspSyQmSU	superstition (meaning)
u6eoD3GXOZE	superstition
HnmeVz4t4Xk	supervisor
ULXqpYB1yYw	support (sign 2)
EcCzQVbFiwE	support (sign 1)
NZmei16Tm_4	swim (sign 1)
wiemsBV5e08	sweet lime (sign 2)
JwE82vJ5lF4	sweet lime (sign 1)
8AKc3tUUqso	sweet (taste)
S4GZ0J3GZvQ	Sweden
3S1RLtVj7PE	sweater (sign 2)
J84aAikfD88	sweater (sign 1)
YYMy75KpmJk	sweat
gMJuEhuQYAg	Swaziland
YPzV-zClOkw	Swami Vivekananda
xEp-ufgrq-g	swallow (liquids)
30OIyeGhcQM	swallow (food)
IijA65GKXKc	surgeon (sign 2)
GybjWmdp4jM	Suzuki Car
IO-b4Lt249Y	suspect
XYVygMJqlTQ	suspect (example)
XgbPX-5ddNM	surprised, shocked
h4y0h7GDHA8	surprise
OwI1yeom0EM	surname
6oKB5PY2M64	swim (sign 2)
ExEPNAW_Zk4	swimming
eihGwOuNl1E	swing (sign 1)
f5uvvlfPawU	swing (sign 2)
LqLnP37No_Y	switch
kGa7Bq3pYqQ	racism
r15J1z-vQIM	Rabindranath Tagore
deXIYwtAoUw	system
F2SfSlbRkj0	sympathy
S1eFafNFNOE	Switzerland
gPKQvW2CXhg	Syria
US1v85XAz0c	Ram Navami
7u54vvW1UKQ	Rajdhani Train( sign 2)
x1Abu6sfP5A	Rajdhani Train (sign 1)
tHSogBpBi5A	raise (head)
wkdHGN4OO-I	raise (hand)
a7gXYwtf0aM	rainbow (sign 2)
YPnTIhCizr0	rainbow (sign 1)
uqaIszhdKfc	rain (heavy rain)
hZGHZ9sLtlg	railway track
EWDMPkRnEHI	radish
SYrln3Ug1Lk	radio
fAbE9RGaHr0	Rama
oLKRnSnr58c	rarely
umCgstR_pg8	rare
0ggPraT35p0	Ranveer Singh
2UL2iPLFUTE	rank
5rAIznB2Sg0	range (sign 2)
jcvnsL69MMo	range (sign 1)
tkqalXOIXJA	rasgulla
WuKSQ-_M1aI	rat, mouse
q97fAwh2-aM	rate, price, cost
1dsbO78Qh5I	ready
OWya5pey33I	read
izjMpJOgofI	reach
XjeeqnHHhJA	raw
u5PdOyHh8Yg	red
dqD5vrJHfQM	rectangle
pYCXAIysO5Y	record
eoYHSxd5nWY	record (video)
9FCa_zHS4-k	recognize
nmC9PhWItts	recharge (money balance)
Xr1SEUip10E	reception (sign 3)
xXykGIC9Yfg	reception (sign 2)
l88Gk4kRlBE	reception (sign 1)
L77Jvnk92gI	reception meaning
4QdYqEbZu8Q	recently
4EihrPe_PfY	recent
Xu7Bjpz-ZRs	receive
0PwKF0pTwpg	receipt
CAKl640s6UE	reason
PNQdYXbMsPI	realize
3dJCO6ExmY0	real estate agent
H7aCSMW9a-o	real estate agent (example)
HJLgJ0K4-pk	reduce
n8CdU-tQIX4	roof
FAOHczmX7Kc	Rolls Royce
zcKPzJMDkRw	roll
kv9Mw_tuoF0	role (sign 2)
2vdw_PjA8FE	role (sign 1)
nur8ELm8QV4	rocking chair
iyvaYVAqszM	rocket
nIw0e8QMIko	rock
wa6VGunvMoo	road
IOp7Ml6b4sk	right
jRRSsM4QKow	Right as rain
MGrjrGgjADY	rich
ds5lPKnltQc	rice
945eoq95GKM	rhinoceros
1tRmBdfaCwQ	reward (sign 2)
J36iHjTW6Jo	reward (sign 1)
Rv7YAemJwp8	revolving chair
Ra22ZVhrcxw	revise, review
EwbZoVWQ6II	religion (sign 2)
Q25uAMfX5Fc	remember
qu0RevE96ac	remove, delete (sign 1)
FlaNoLJsw-s	remove, delete (sign 2)
v6KlD6e05Fc	reverse
5nlcoXAOqFQ	return
rNvWUflStQQ	retire
hpY4EHeLGz0	result sign 2
hpY4EHeLGz0	result sign 2
eCHra4gvq2A	result sign 1
MRf9vcls4eQ	restaurant
vTrtUfPI0RY	rest
e07tkwowhvQ	respect
m8c-LCkr39Y	resolve
18f9RKQp4zw	resign (sign 2)
ZLBwSYUFhqk	resign (sign 1)
YhVonZ8wM4s	reservation (sign 3)
GWn73nB7NsA	reservation (sign 2)
h5N2nXbDBm0	reservation (sign 1)
-Lnou_Pop1o	reservation (meaning)
66XVsuuo9BA	researcher
uKWcQt8U4lA	research
ZcxtRrRVHFE	request
dGP1h8tXPGY	Republic Day (sign 2)
qmuQIVAAjOY	Republic Day (sign 1)
L9zst1EDfWQ	report
5cNi4x3S8RA	reporter
IgilYoGrZlg	repair (sign 2)
4JPQ0EUdcbg	repair (sign 1)
kionVevx1ns	repair (meaning)
nVGUO-aBw6o	remove, delete (sign 3)
kO5NaIjjtn0	restrained, bound, confined, chained
z4D6TU11HbE	rubber, eraser
8Z_T-zrBEr8	Royal Enfield
V3vmgiymarA	route
YnZWnAEfIPw	round
i11LzPy5OPQ	room
l2aqBT_Vbyw	rubber stamp
Nn3ooGh1n7w	rude (meaning)
pJpVzk9brGM	rude (sign 2)
yQ7kMY9kDlM	rent
7w2Aev6pww0	rule
h1mgzeLHaMY	Rwanda
mEhGf6FP0Jo	Russia (sign 2)
NhVVvn7cwd4	Russia (sign 1)
21Y0f3QHoKo	rupee
TJJHfurpn-I	runs (cricket)
UWzrvtCcWDA	run
6wOOntcIJjE	rum
fVKjue-fAkk	ruler, scale
osKMM2nRMaI	passion
BDSIilJRj-4	passbook printing machine
YtiMW5yuGp0	pass
yS482mzgCwo	pass (ticket)
Non0cu5dbSs	party
3pZp4IFQCuA	part(s)
2PcBSQ4A8XM	parrot (sign 2)
m4NUhzj-l70	parrot (sign 1)
_ZQRTRss6sY	parliament (sign 2)
25Ju8FP3zV8	parliament (sign 1)
XYyZ0xYVA6I	Pakistan (sign 1)
Rd6B7wNJ2wQ	pair
fAujasBRvD4	paint (sign 2)
cM_xDZOtPsc	paint sign 1
UvsWlQg31Ts	pain (sign 2)
BaXoF_r5D4w	pain (sign 1)
5TWOGQz75xc	paan
8O-mQYCFWoA	Pakistan (sign 3)
Z3vKfnZktzo	parking (sign 2)
wtaxFUrko34	parking (sign 1)
2cDgDbxkXFE	parents
wOwsXFMF1aA	parcel
rC5QdAVnv0I	paratha (aloo)
3bV2PgWlc7M	peas (sign 1)
lzCeQ6VI2zU	pear
b_cuB9Hjx34	peanut
j3xrbfCVSns	peacock (sign 4)
5dPJr4Pent8	peacock (sign 3)
mnZrhrQqNQk	peacock (sign 2)
yXtu327tJ28	peacock (sign 1)
5GWUar402WQ	Paytm (sign 2)
KPIxtz5y-AQ	Paytm (sign 1)
FfuRz0AuxMs	pay
h3c9_id8RWg	pay in installment, EMI
vLk7S0mnUms	pay in installment, EMI (meaning)
GZSpfYjY3lM	pause (sign 2)
Iu0WhShkyw0	pause (sign 1)
kwphB-3eDMU	patriotic
jfjL9Too_gA	patience
tNNf1uxRiDU	pastry
aVxK8yw7z7I	paste
qrkzRim1Qc0	past
RN3kLXQdNcc	paramedic
0hZluINun1Y	Paraguay
Ypycm97DvfI	paragraph (sign 2)
2bDOqi4YXtI	paragraph (sign 1)
KtjbWweEkKE	paragraph (meaning)
d9qLL38zaZ0	parade, march (sports events)
KGd-YJ5cDTM	paper
Sh5c_9ADHFs	paper clip (sign 2)
QiHtCEo3nEk	paper clip (sign 1)
NuTEITSEAUA	papaya (sign 2)
lR_1-a9k6wM	papaya (sign 1)
XlPxk8w2uAY	pants, trousers
A_ghucv_daw	panic
fBzuEo6DNDc	Panasonic Mobile
2tawxaYAZcA	Panama
EKZWNoQFQuw	palm tree
HSxlr1h3TyM	pamphlet
pmZTgjnADhQ	peon (sign 2)
EQpjjm6rZTw	peon (meaning)
ObrkXqrK96M	peon (sign 1)
fnOThtPRhVM	penguin
W4I02aYytbg	pencil box
-C18cQCkCcw	pencil (sign 7)
z1VPeFV_ew4	pencil (sign 6)
GQaw-x-oXM0	pencil (sign 5)
5pYCIsZH-H4	pencil (sign 4)
0p_iET-2TRw	pencil (sign 3)
EbmFC4EitxU	pencil (sign 2)
b8uuqEIu8Ag	pencil (sign 1)
GleVWSS5dmo	pen drive (sign 2)
AY5ZDfd57vc	pen drive (sign 1)
6MpvtbLWDbo	permanent sign 2
ne5dJi6f9aQ	permanent sign 1
8cz9vIAyOPE	period time
F-nZwpViPqM	perform
Nud7Ld9x7Z4	perfect
7HFTUAIevO8	percentage (sign 2)
IMZb4D-ulNs	percentage (sign 1)
n7sdyYH_Vss	people
60gcpXhOpxg	pen (sign 3)
m7zujfKvM9Y	pen (sign 2)
yk1x10hOd1M	pen (sign 1)
3X2TOqyDgv8	peas (sign 2)
oNnwv2EUUOQ	Pakistan (sign 2)
6KoseVjvOE4	planet
bGzdNLa1O9o	plan
xBLGhif1BWI	place
iGDJKo1-w5k	please (sign 3)
vMbLDoCayk8	please (sign 1)
5jDsH5VpFBo	play
Jn9jwPcSKag	plate (sign 2)
g3I84gVyO9E	plate (sign 1)
DsIehsrzx7o	pizza (sign 2)
EFd9_rQVW6k	pizza (sign 1)
qweRHfBQxEg	pista
1B_wGNSS-uY	pink (sign 2)
ynvL576W11k	pink (sign 1)
jvTF5BY3UI4	pineapple
j0m4en9JPMo	pin
8ucWkX-wRrk	pilot
9LWMsCmHhaQ	piece (sign 2)
XunH_PEln9Y	piece (sign 1)
DMaN0jUw3pU	pickle
OYQVWFoke9E	pick (sign 2)
DA0Ma_9R3HU	pick (sign 1)
GZTuJ6NMvbw	piano
tTM_n97xYp4	photographer
4XFgnsejElI	photocopy, xerox
YhHAI3h-Pno	phone
eWg1Wo-dGaY	Philippines
k-WaxvAgxrU	pharmacist
EZtR1UdIiBE	Peru
JZRAOigBYnM	personality
JPvEO-Q1N08	personal (sign 2)
alvjMQjm1pM	personal (sign 1)
_qWORH98SLc	person
qp4Sw-QAMD4	permit
PffO6Uac1uY	permission
Sd7e5qVlMB8	photgraph, photo
A2flwWtlgdQ	politician
ZWdAqWE-J3k	polite
pOrhwbKtrns	policy (sign 3)
KbmqszvRUmQ	policy (sign 2)
FGFEkUDv0Xs	policy (sign 1)
b5pF8YU_ILs	policeman (sign 2)
hLzEs4ZdXg4	policeman (sign 1)
NmPpZgrECW0	police
uqfvjaFYDQg	Poland
q0tH9vIYWNU	poison (sign 2)
PbfCur5zsw8	poison (sign 1)
fP4-gKIRpD4	podium mic
V-BQYv-0PKs	podium (sign 2)
DOHpEalcflo	podium (sign 1)
iEoyPLi9Lys	plumber
S-BjndLCySU	plum
wgvsWR2YWxo	plenty sign 2
SQZyez6oDKg	plenty sign 1
vAW9QDnXLrE	please (sign 4)
guSd2Yti04Q	poor
NBrsl0Sk_KY	pond
TQeI5Uixibg	pomegranate
jxApN53iXO0	pollution
6m-jzzkuyGM	politics
GWQ3h3xY7os	pressure cooker
IxDZyvc3cRM	president
Te9AcG7ugOc	present (now)
cKTC0499dBc	prescription (sign 2)
nT_QwhsDXR0	prescription (sign 1)
2u2aH81FDWM	preposition
Otwvyu8956s	prepare
vV1FizHByPw	prejudice
kadMX531Q2A	prefer (sign 2)
EFPl9sfDRkM	prefer (sign 1)
xtolpEBm2ro	predict
SFD6zesDMMY	pray
SQymUlHks-I	pram
PI6SVXN35Rg	praise
N0OMPBVVK3o	praise, clap
jXIz2WBz-V8	practice
VCRZM4u-FYs	power
67RFKb9R-Rs	potential
3ir8Rnwx8TY	potato (sign 2)
z66yE3ILKuw	potato (sign 1)
1iCtgbRsFnE	popcorn
UrcPpbomhoE	postpone
XRo4L75knlY	postman
EJF-HPyHiYE	post
CPzNAqruek8	post office
BI1IkyUrBT0	possible
8W0rN_UGUDM	positive
Ekmr93MXzCE	Portugal
s5cimY-et2g	price
Lr1RBzRU5IY	prevent
SaQIh-rBkqM	Priyanka Chopra Jonas
1OPTSnDAImg	private
VL83qtgsLCk	printer (sign 2)
YuqMoY_OqRg	printer (sign 1)
VdaOSlNkCEY	print
GGbmYniJ_EM	principal (sign 2)
ON8Ou8j8BjY	principal (sign 1)
O-H9plmvvoE	prime minister
OL-CqbpYr8w	quiet
9MZyb9n2hmw	quickly, hurry (sign 1)
IGsDuTIs2ZU	quickly (sign 2)
4mzBkoNvj34	queue
sh5goqn8bGI	question
Km1_9ZLW-w0	query
WlHa4foZbc0	queen
QowRgF354O8	quarter
Dvpc0R8CfI0	quantity
AUnzt1FRoRk	qualification (sign 2)
MMzsqe-mNmc	qualification (sign 1)
VBX7WykbnZM	python
OL_k_mBRxbA	pyjama
zCAa4hAv2AY	puzzle
jvqLDP06WII	put (sign 2)
0F7sYNf4uxU	put (sign 1)
MMp7gwH60cU	put (meaning)
vILWc30qenk	Pusarla Venkata Sindhu
MLAL7ASrh5s	pure
8TKDYaZqEFA	puppet
uF8zIar63bQ	Punjabi (sign 2)
NxxURb8wKd0	Punjabi (sign 1)
O4sOntiraJc	punish
Uwz4-pLZMC8	punctual, on time
Y7eYIdnqRSU	pumpkin
-0aVPU0Lmdk	Pull yourself together
3MxE482U2Ns	Pull someone's leg
5YO6JToom0U	public
F2oFyH9CkpI	psychology
94r3k7n7oTs	prove
l4sZF-4-a3A	proud
oL5-8eYbp3I	protest, rally, march, demonstration
fxWTlUwF1O4	protect
YFl0dGwRwYo	property
ijKFau9K4Rw	proof (sign 2)
7spvXhsm6k0	proof (sign 1)
p___W5DGZYM	pronoun
i51r2vobqyY	promotion (sign 4)
0NUyw07V03g	promotion (sign 3)
R0JV03iiFtU	promotion (sign 2)
zZVuyuVTFW0	promotion (sign 1)
_u5BpyWgd2k	promote (sign 2)
AfzXlh8OgnI	promote (sign 1)
aJvkIV-8Q9A	promise
ZAVbHxqvcZM	projector (sign 3)
qmOaTqw3WQY	projector (sign 2)
rlMareW0lTU	projector (sign 1)
dq2YpgXqCn8	program
cfZzelNoOtA	profit
AMSxEvyhESk	professor
LzD3My7FOzI	professional
7YQ0D3swwMk	profession
CpbiUt_BR3U	process (sign 2)
LmFIEd0Ejq8	process (sign 1)
oY37vXA7tXk	problem
uGjEbNgtauE	open (sign 1)
_pzmJOER_y8	Ooty
LYaC4yU2_AE	online shopping
t1ElZ8Bbzyg	online (sign 2)
4TXbOxz60R4	online (sign 1)
Qo2EdbZg68A	onion (sign 2)
B6dVHrpiFws	onion (sign 1)
ZsQM3Ip3WP4	OnePlus Mobile
Hv3CUeYzFGk	one and a half hours
Gh-mMyOy1UY	on
M1exrb6hf9I	On the fence
g78cA4s3tcA	On the ball
KuG1qosmz1w	On cloud nine
YCnpEJTrtb4	older sister, elder sister
zEhEGpPHGLE	older brother, elder brother
ynZd-HeXGnc	old, obsolete, outdated, ancient (thing, time)
z-gika19BqU	old, aged, elderly (person)
g8--b-O60kM	old (things, time)
lH6pT7nQb9A	1 one
EZpZvb2wicY	okay (sign 2)
mdghSfzgn_w	okay (sign 1)
z9fE3-r78UE	ogle from head to toe, gape, gawk
8IJCjt_xuXg	ogle from head to toe, gape, gawk (meaning)
k7RALdyULIU	often (sign 2)
m-YncUJ0SpA	often (sign 1)
ZAXYZbQjJd8	official
WegWM9MfmYo	official (person) (sign 2)
bmMd8l2xZaE	official (person) (sign 1)
3kNaobravCU	office
PUDnvoajVUk	office branch (meaning)
oWtw4v6uVEo	offer
kyMdUjCgk_k	octopus
3Azhh428me8	October (sign 2)
fU3FLT8aa_A	October (sign 1)
V94cJaXyYpY	obey, comply (sign 2)
gCc-L7xN82s	obey, comply (sign 1)
NVNirvNgU9g	oath, pledge
6Xyl6CNQ_f4	1,00,00,000 one crore
sw0z81Ri4ps	1,00,000 one lakh
R07yPaWBR8g	operation
3MoTC6iB3xQ	organization
_Zqd_PC4zYs	order, command, direct, instruct (sign 2)
d_0HZMA0Ml0	order, command, direct, instruct (sign 1)
MMrUJwt_8oQ	orange
czE3uNUVUKA	oral, spoken
kqm4fF_sp4M	option, choice, alternative
1edglbTViU4	oppression, injustice (meaning)
8CsqDF-3gGA	oppress, subjugate, suppress
D12hlBiVjck	opposite, contradictory
rzY50tnGKNg	opportunity, chance
z-uZFPcqtcQ	Oppo Mobile
g6N1jD8-u2U	opinion
MJTOje2ViH4	our
_Ugi-tUFXN8	other
lJeijKlq1Qo	ostrich
2-0sLH5bX0k	Oriya (sign 2)
Eb1zmjEoyGQ	Oriya (sign 1)
KNZbdGWxDfw	out, outside
IljBrnpRkLI	over (sign 2)
3ymIgijDrC0	owl (sign 2)
C9W9Hvx3nNY	owl (sign 1)
ZT1KeYVFU3s	over (sign 1)
lqh1z8IWu8w	owl (sign 3)
XvUEpKDeies	owner (sign 2)
c7P3OaUt-LA	owner (sign 1)
jwjeDemhdv4	own, possess
GeeCVBhDSKs	own, mine
geLlRLZnNhQ	ox
7JXTpPBaS8I	owner, landlord
hvNcv6oLpaY	noise, din
91WkA3SEDpM	noise pollution
BEEOC2ZXhsg	no, not
r7g0SqQcr6I	No pain, no gain
VS_ZuiQIJx0	no (sign 2)
VS_ZuiQIJx0	no (sign 2)
CXEDTo1PXCg	no (sign 1)
rayOhAZhd2k	night
1VHhWnMU21Y	ninth
Q7rYOmLAa2o	Nigeria
5udtEzoi0Lo	Niger
BGIG-XfX4BI	niece
F6sn_h1Xea0	Nice to meet you
QyL43-YjgK8	nice (sign 2)
pFUbKCb5m0I	nice (sign 1)
A6f3QRzvHV0	next year
rW8bfuuzfgI	next week
kXSOWHHAteo	next month
WjM69tcGYT4	next (TV channel, book page, etc)
_rguUTHtPkg	next (sign 2)
X2PsOJ4GaNY	next (sign 1)
m4UTGWK32d4	next (person)
